Feature,Importance
V14,0.19559182936500544
V10,0.11047509364041103
V4,0.1061039654596146
V12,0.09509906941679919
V17,0.08502048207545916
V3,0.06041310054787925
V11,0.05635307107888772
V16,0.04377939141710639
V2,0.036996871194437175
V9,0.026208730898127804
V7,0.018495484256512814
V21,0.01584580660819188
V8,0.015795995585455667
V18,0.013917589462322813
V27,0.01119443312824751
V5,0.010649162870291743
V13,0.010197840031048299
V19,0.009792917791863386
V26,0.008788824413430854
V1,0.008235897847804348
V20,0.007913738861289037
Amount,0.007600896879983344
Time,0.007333437420839428
V28,0.006469474393299116
V15,0.005960388216683857
V22,0.005407326652737203
V6,0.005399972641796516
V25,0.00521357751223027
V23,0.0050512707745581364
V24,0.004694359557685988
